"paperid"|"authorid"|"name"|"affiliation"
"655755"|"7630"|"Tom Alber"|""
"655823"|"2528"|"John C. Mazziotta"|""
"656181"|"4402"|"R. C. Gardner"|"Uniuersity of Western Ontario"
"656482"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"656502"|"3201"|"D. Harris"|""
"657144"|"659"|"Douglas Comer"|""
"657724"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"657914"|"2402"|"Peter J. Olver"|""
"658020"|"7703"|"M. F. Doherty"|""
"658345"|"2845"|"Warren N. Waggenspack Jr."|""
"658521"|"4203"|"A. D. Irvine"|""
"658521"|"4203"|"Alan D. Irvine"|""
"658528"|"659"|"Douglas Comer"|""
"659255"|"3298"|"Jacobus E. Van Der Merwe"|""
"659283"|"6768"|"George Nagy"|""
"659872"|"3897"|"Ravi P. Agarwal"|"Department of Mathematics, National University of Singapore, 10 Kent Ridge Crescent, Singapore 119260, Singapore"
"659961"|"6683"|"Ketan Mulmuley"|""
"660193"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"660497"|"6683"|"Ketan D. Mulmuley"|""
"660962"|"6783"|"Sebastian Mika"|""
"661135"|"2276"|"Stephen Hecht"|""
"661137"|"6747"|"Arnon Rosenthal"|""
"661164"|"1539"|"Tryphon Georgiou"|""
"661314"|"1312"|"Sing Bing Kang"|"Microsoft Research"
"662069"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"662076"|"2236"|"A. Avetissian"|"Yerevan Physics Institute, 375036 Yerevan, Armenia"
"662186"|"5264"|"E. Martínez"|""
"662496"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"662811"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"663001"|"4614"|"Ivan B. Djordjevic"|"University of Arizona|Department of Electrical and Computer Engineering"
"663149"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"663475"|"8783"|"Lev A. Borisov"|""
"663700"|"724"|"Clarisse Flipo-Dhaenens"|""
"663740"|"3585"|"Kamran Zarrineh"|""
"664456"|"724"|"Clarisse Dhaenens"|""
"664626"|"1246"|"D. C. Dennett"|""
"665150"|"8169"|"Francisco Heron de Carvalho Jr."|""
"665199"|"5267"|"Alaa R. Alameldeen"|""
"665362"|"2948"|"Janet Carter"|"Cambridge U."
"665460"|"7457"|"X. Y. Li"|"Magnetoelectronic Lab|Nanjing Normal University"
"665607"|"5659"|"Y. Sato"|"NTT Microsystem Integration Laboratories, NTT Corporation, Atsugi, Kanagawa, Japan"
"665863"|"5659"|"Y. Sato"|"Integration Laboratories|NTT Corporation"
"666161"|"5752"|"Ambra Neri"|"Department of Language and Speech|University of Nijmegen"
"666181"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"666365"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"666501"|"2763"|"T. P. Schultz"|""
"666703"|"6827"|"William A. Masters"|""
"666874"|"2402"|"Peter J. Olver"|""
"667071"|"1832"|"Dah Ming Chiu"|"Department of Information Engineering|Chinese University of Hong Kong"
"667323"|"2948"|"Janet Carter"|"Cambridge U."
"667341"|"1841"|"J SEKHAR"|""
"667434"|"8358"|"Johan Schubert"|""
"667434"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"667451"|"8495"|"David Carrera"|"Universitat Politècnica de Catalunya"
"667533"|"3897"|"R. P. Agarwal"|""
"668374"|"3305"|"Paolo Bresciani"|"ITC-irst, via Sommarive 18, I-38050 Trento-Povo, Italy"
"668395"|"4039"|"Yashwant K. Malaiya"|"Computer Science Department|Colorado State University"
"668643"|"1246"|"DANIEL DENNETT"|""
"668835"|"6747"|"A. Rosenthal"|""
"670008"|"3201"|"D. Harris"|""
"670562"|"6241"|"Rajendra S. Katti"|""
"670657"|"2453"|"Helene Rey"|"NBER Contributor"
"670967"|"7703"|"M Doherty"|""
"671046"|"724"|"Clarisse Dhaenens"|"LIFL, CNRS, Université de Lille I, 59655 Villeneuve d’Ascq, France"
"671067"|"7630"|"Tom Alber"|""
"671101"|"5046"|"Carine Lucas"|"Vrije Universiteit Brussel Programming Technology Lab Computer Science Department Pleinlaan 2 B-1050 Brussel Belgium"
"671156"|"5264"|"Elisabeth Martinez"|"South Texas Health Research Center"
"671409"|"7915"|"D. Walther"|""
"671484"|"1476"|"Sweder van Wijnbergen"|""
"671895"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"671986"|"6827"|"William A. Masters"|""
"672626"|"826"|"Emanuele Buratti"|""
"672806"|"3897"|"Ravi P. Agarwal"|"Department of Mathematics, National University of Singapore, 10 Kent Ridge Crescent, Singapore 119260, Singapore"
"673696"|"7630"|"Tom Alber"|""
"673737"|"25"|"W. H. Nailon"|""
"674780"|"1508"|"Jonathan J. Oliver"|""
"674836"|"55"|"Jose Pereira"|""
"674836"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"675149"|"8101"|"Kenneth Sauer"|""
"675559"|"365"|"Victor M. Kureichick"|"Taganrog State|University of Radio-Engineering"
"675688"|"8566"|"María José Castro Bleda"|""
"676080"|"8358"|"Johan Schubert"|"Department of Data and Information Fusion|Division of Command and Control Systems"
"676080"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"676203"|"7482"|"Beatriz H. Juarez"|"Universidad Autónoma de Madrid"
"676203"|"7482"|"Beatriz H. Juárez"|""
"676237"|"2276"|"STEPHEN S HECHT"|"Institute for Disease Prevention"
"677544"|"4402"|"R. C. Gardner"|"U Western Ontario, London, Canada"
"677709"|"3897"|"Ravi P Agarwal"|""
"677818"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"678181"|"5808"|"T. Young"|""
"678448"|"724"|"C. Dhaenens"|""
"678802"|"8413"|"R. L. Tatusov"|"National Center for Biotechnology Information|National Library of Medicine|National Institutes of Health"
"678806"|"7915"|"Dirk Walther"|""
"679014"|"7742"|"Jianlin Luo"|""
"679243"|"3897"|"Ravi P. Agarwal"|"Department of Mathematics, Florida Institute of Technology, Melbourne, FL 32901, USA"
"679698"|"7066"|"A. Gomes Correia"|""
"679698"|"7066"|"Antonio Gomes Correia"|"Universidade do Minho"
"680010"|"2948"|"Janet Carter"|"Cambridge U."
"680551"|"2276"|"Stephen S Hecht"|""
"680611"|"3593"|"John Morris"|""
"680700"|"1328"|"Marc Najork"|"Microsoft Research"
"680879"|"6827"|"William A. Masters"|""
"681045"|"1312"|"Sing Bing Kang"|"Microsoft Research"
"681476"|"2948"|"Janet Carter"|"Cambridge U."
"681677"|"659"|"Douglas E. Comer"|"Department of Computer Sciences|Purdue University"
"682320"|"3995"|"R. S. Conroy"|""
"682756"|"8017"|"Jarlath O'Neil-Dunne"|""
"683325"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"683822"|"8413"|"Roman L. Tatusov"|""
"683860"|"6768"|"George Nagy"|""
"684808"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"684956"|"4057"|"E. Talik"|"Institute of Physics, University of Silesia, Katowice, Poland"
"684994"|"336"|"Halina Przymusinska"|""
"685165"|"8147"|"Assaf Shacham"|""
"685229"|"659"|"Douglas E. Comer"|""
"685489"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"686632"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"686835"|"5264"|"E MARTINEZ"|""
"686866"|"2743"|"Michael Rovatsos"|"Department of Informatics|Technical University of Munich"
"687209"|"4078"|"Asger Lunde"|""
"688281"|"1476"|"Sweder van Wijnbergen"|""
"688297"|"4203"|"Alan D. Irvine"|""
"688297"|"4203"|"A. D. Irvine"|""
"688601"|"3897"|"Ravi P. Agarwal"|"Department of Mathematical Sciences, Florida Inst. Tech., Melbourne, FL, USA"
"688974"|"731"|"P C Mishra"|"KIIT University Kalinga Institute of Industrial Technology"
"689025"|"5808"|"T. M. Young"|""
"689262"|"1308"|"Patrick Huggins"|"Department of Computer Science|Yale University"
"689309"|"3305"|"Paolo Bresciani"|""
"689571"|"2528"|"John C. Mazziotta"|""
"690059"|"1697"|"Dilip Abreu"|""
"690310"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"690708"|"6827"|"William A. Masters"|""
"690714"|"6352"|"A. Lasserre"|"Victor Segalen Bordeaux 2 University"
"690714"|"6352"|"A. Lasserre"|""
"691164"|"7703"|"Michael F. Doherty"|""
"691237"|"4358"|"Erik B. Sudderth"|""
"691356"|"4632"|"R. Ortega"|""
"691502"|"6597"|"Colin O'toole"|""
"692273"|"199"|"Yufeng Xin"|"ANR, MCNC-RDI, RTP, NC 27709, USA"
"692384"|"5808"|"T. Young"|"Materials and Surface Science Institute, University of Limerick, Limerick, Ireland"
"692395"|"7703"|"Michael F. Doherty"|""
"692717"|"1963"|"W. A. Sabra"|""
"692919"|"4649"|"Guus Duchateau"|""
"692954"|"2575"|"M. Kulesh"|""
"693005"|"3298"|"Jacobus van der Merwe"|"University of Michigan|Carnegie Mellon University"
"693659"|"2013"|"D. Tang"|""
"693722"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"693724"|"1476"|"Sweder van Wijnbergen"|""
"695386"|"5264"|"E. Martinez"|""
"696269"|"2783"|"Jorge Antonio Vargas"|"Universidad Nacional de Córdoba"
"696269"|"2783"|"Jorge Vargas"|""
"696525"|"6783"|"S. Mika"|""
"696724"|"1419"|"Chih-lung Bruce Lin"|""
"697076"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"697217"|"8365"|"Thomas Röfer"|"Center for Cognitive Sciences|University of Bremen"
"697270"|"8691"|"Reijo Sulonen"|""
"697294"|"2743"|"Michael Rovatsos"|""
"697669"|"4071"|"David C. Bloom"|""
"697788"|"4078"|"Asger Lunde"|"Aarhus School of Business"
"698295"|"5659"|"Y. Sato"|""
"698682"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"698788"|"4632"|"Romeo Ortega"|"Department of Electrieal|Delft University of Technology"
"698805"|"826"|"Emanuele Buratti"|""
"698956"|"8068"|"Pranava R. Goundan"|"Indian Institute of Technology Department of Computer Science and Engineering Madras, Chennai 600036 India"
"699144"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"699377"|"7630"|"Tom Alber"|"Univ. of Utah School of Medicine, Salt Lake City United States) Univ. of Utah, Salt Lake City United States"
"699627"|"7326"|"Bruno Raffin"|"IIIA Universite d'Orl"
"699694"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"699941"|"3545"|"K Ng"|""
"699943"|"571"|"Erika F. de Lima"|"German National Research|Center for Information Technology"
"700683"|"826"|"Emanuele Buratti"|""
"701621"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"701852"|"6747"|"Arnon S. Rosenthal"|""
"702221"|"2537"|"G. A. Margulis"|""
"702264"|"8874"|"R. Chandramouli"|"Department of Electrical and Computer Engineering|Stevens Institute of Technology"
"702371"|"6747"|"Arnon Rosenthal"|""
"702475"|"8691"|"Reijo Sulonen"|"Laboratory of Information Processing Science|Helsinki University of Technology"
"702695"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"703002"|"4078"|"ASGER LUNDE"|""
"703007"|"2453"|"Hélène Rey"|"London Business School (LBS); Centre for Economic Policy Research (CEPR)"
"703231"|"426"|"M. Thomas"|""
"703799"|"426"|"Michael Thomas"|""
"703799"|"426"|"Michael Thomas"|"California Institute of Technology"
"704564"|"2783"|"Jorge Antonio Vargas"|"Universidad Nacional de Córdoba"
"704564"|"2783"|"J. A. Vargas"|""
"704846"|"6747"|"Arnon Rosenthal"|""
"706045"|"3144"|"Thomas H. Lenhard"|"University of Applied|Sciences Kaiserslautern"
"706045"|"3144"|"Thomas H. Lenhard"|"University of Applied Sciences Kaiserslautern / Zweibruecken"
"706615"|"1476"|"Sweder van Wijnbergen"|""
"706926"|"5505"|"R. Coccioli"|"Electrical Engineering Department | University of California at Los Angeles"
"706995"|"2402"|"P. J. OLVER"|""
"707333"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"708241"|"7457"|"Xiang Li"|""
"708254"|"7630"|"Tom Alber"|""
"708489"|"1806"|"Charles D. Norton"|"California Institute of Technology Jet Propulsion Laboratory Pasadena CA USA"
"708927"|"435"|"Peter D Chalk"|"University School of Computing"
"709175"|"2948"|"Janet Carter"|"Cambridge U."
"709602"|"2276"|"Stephen S. Hecht"|""
"709738"|"4071"|"David C Bloom"|"Department of Otolaryngology—Head and Neck Surgery, Naval Medical Center San Diego, San Diego, California, USA"
"709907"|"1476"|"Sweder van Wijnbergen"|"University of Amsterdam"
"709910"|"6573"|"N. P. Kozlov"|""
"710006"|"7703"|"Michael F. Doherty"|""
"710809"|"1312"|"Sing Bing Kang"|"Microsoft Research"
"710890"|"3649"|"Harith Alani"|"School of Electronics|and Computer Science|University of Southampton"
"711695"|"1539"|"Tryphon T. Georgiou"|"Department of Electrical and Computer Engineering, University of Minnesota, United States"
"712988"|"1725"|"N. K. Cohen"|""
"713186"|"6733"|"Jawahar Jain"|""
"713786"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"713892"|"7703"|"Michael F. Doherty"|""
"713997"|"4358"|"Erik B. Sudderth"|"Electrical Engineering & Computer Science|Massachusetts Institute of Technology"
"714086"|"659"|"Douglas Comer"|""
"714658"|"724"|"Clarisse Dhaenens"|""
"714810"|"4614"|"Ivan B. Djordjevic"|""
"714825"|"800"|"Søren Birk Rasmussen"|""
"715208"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"716378"|"8566"|"María J. Bleda"|""
"716434"|"2453"|"Hélène Rey"|"NATIONAL BUREAU OF ECONOMIC RESEARCH"
"716659"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"716890"|"5210"|"Nobuji Tetsutani"|"ATR Media Information Science Labs"
"717808"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"718278"|"4272"|"R. A. Cahill"|"Department of Colorectal Surgery, John Radcliffe Hospital, Headley Way, Oxford OX3 9DU, United Kingdom"
"718278"|"4272"|"Ronan A. Cahill"|"Royal College of Surgeons of Ireland"
"718785"|"8101"|"Kenneth Sauer"|""
"718998"|"547"|"Robert J. Waldmann"|""
"719298"|"5264"|"E MARTINEZ"|""
"719441"|"7703"|"Michael F. Doherty"|""
"720336"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"720583"|"5210"|"Nobuji Tetsutani"|""
"720689"|"6352"|"A Lasserre"|""
"720689"|"6352"|"A. Lasserre"|"Victor Segalen Bordeaux 2 University"
"720761"|"915"|"Hilary J. Holz"|"Dept . of Electrical and Computer Engineering|George Washington University"
"721485"|"8316"|"Jur van den Berg"|"School of Computing, University of Utah, Salt Lake City, USA"
"721733"|"334"|"Edmund Pierzchala"|""
"721937"|"7703"|"Michael F. Doherty"|""
"721981"|"6303"|"S. P. Kuo"|""
"722069"|"6747"|"Arnon Rosenthal"|""
"722226"|"2276"|"Stephen Hecht"|""
"722824"|"1312"|"Sing Bing Kang"|""
"722971"|"4057"|"E. K. Talik"|""
"722990"|"3897"|"Ravi P. Agarwal"|"Department of Mathematics, Florida Institute of Technology, Melbourne, FL 32901, USA"
"722996"|"4039"|"Yashwant K. Malaiya"|""
"723435"|"826"|"Emanuele Buratti"|""
"723759"|"2300"|"N. T. Basta"|""
"724805"|"7703"|"M. F. Doherty"|""
"724921"|"8566"|"María José Castro Bleda"|""
"725124"|"5659"|"Y. Sato"|""
"725457"|"4402"|"Robert C. Gardner"|"University of Western Ontario, London, Ontario, Canada"
"725697"|"7915"|"D. Walther"|""
"725722"|"1328"|"Marc Najork"|"Microsoft Research"
"725774"|"4057"|"E. Talik"|""
"725799"|"4071"|"David C. Bloom"|"Arizona State University Department of Microbiology Tempe Arizona 85287-270l"
"725847"|"1312"|"S. B. Kang"|""
"726535"|"1328"|"Marc Najork"|"Compaq Computer Corporation|Systems Research Center"
"726677"|"7915"|"D. Walther"|""
"726974"|"3897"|"R. P. AGARWAL"|"National University of Singapore Department of Mathematics 0511 Singapore 0511 Singapore"
"727137"|"4071"|"D C Bloom"|""
"727137"|"4071"|"DC Bloom"|"Department of Molecular Genetics and Microbiology, University of Florida College of Medicine"
"727821"|"5380"|"Dario L. Ringach"|"Biomedical Engineering Department, University of California, Los Angeles, Los Angeles, CA 90095, USA"
"728378"|"5210"|"Nobuji Tetsutani"|""
"728755"|"4203"|"Alan D. Irvine"|""
"728803"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"729177"|"8316"|"Jur P. van den Berg"|""
"729355"|"5264"|"E Martinez"|"Division of Liver Transplantation, Emory University Hospital, Atlanta, Georgia, USA"
"729736"|"2783"|"J VARGAS"|""
"730662"|"8707"|"Massimiliano NUCCIO"|""
"731437"|"724"|"Clarisse Dhaenens"|"LIFL – CNRS, Université Lille 1, France"
"732069"|"2948"|"Janet Carter"|"Cambridge U."
"732172"|"6719"|"K KLUK"|""
"732195"|"1312"|"Sing Bing Kang"|"Microsoft Research Asia, Beijing, P.R. China"
"732607"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"732685"|"6966"|"D MIDDLETON"|""
"733342"|"6827"|"William A. Masters"|""
"733374"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"733424"|"8044"|"Daniel Bar-Tal"|""
"733468"|"426"|"Michael Thomas"|"California Institute of Technology, Pasadena, CA 91125, USA"
"733468"|"426"|"Michael Thomas"|"California Institute of Technology"
"733481"|"8169"|"Francisco Heron de Carvalho"|""
"733638"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"733645"|"1806"|"Charles Norton"|""
"733676"|"4071"|"David C. Bloom"|""
"733745"|"5264"|"Erika Martinez"|""
"733930"|"8691"|"Reijo Sulonen"|""
"733938"|"5264"|"E Martinez"|"Department of Medicine, Emory University School of Medicine, Atlanta, Georgia, USA"
"733993"|"8566"|"María J. Bleda"|""
"734174"|"8566"|"María José Castro Bleda"|""
"734601"|"3283"|"Jurij Jaklic"|""
"734804"|"8785"|"Jennifer A. Doudna"|""
"735198"|"287"|"Mitchell D. Theys"|""
"735388"|"800"|"S. B. Rasmussen"|"Instituto de Catálisis y Petroleoquímica, CSIC, Calle Marie Curie 2, Cantoblanco, 28049 Madrid, Spain"
"1216355"|"4071"|"David C. Bloom"|""
"735557"|"1246"|"Daniel C. Dennett"|"Tufts University Department of Philosophy Medford MA 02155-7059 USA Medford MA 02155-7059 USA"
"735576"|"4272"|"Ronan A Cahill"|""
"735576"|"4272"|"Ronan A. Cahill"|"Royal College of Surgeons of Ireland"
"735734"|"8316"|"J. P. van den Berg"|""
"736243"|"7703"|"Michael F. Doherty"|""
"737319"|"4402"|"Robert Gardner"|""
"737387"|"336"|"Halina Przymusinska"|""
"737855"|"2276"|"Stephen S. Hecht"|""
"738398"|"4203"|"Alan D. Irvine"|""
"738398"|"4203"|"A. D. IRVINE"|""
"738528"|"1906"|"Martin Korte"|"Technical University Braunschweig"
"738716"|"1308"|"Patrick S. Huggins"|"Yale University Department of Computer Science New Haven CT 06520 USA"
"738822"|"4678"|"Rolf Inge Godøy"|""
"739353"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"739468"|"8358"|"Johan Schubert"|"Department of Data and Information Fusion|Division of Command and Control Warfare Technology"
"739468"|"8358"|"Johan Schubert"|"Swedish Defence Research Agency"
"739646"|"2924"|"A. Piel"|"Institute for Experimental Physics, Kiel University, Olshausen str. 40, D-2300, Kiel, Germany"
"739739"|"5808"|"T. M. Young"|""
"739847"|"7393"|"R. J.-B. Wets"|"Department of Mathematics, University of California, Davis, CA 95616, USA"
"740809"|"8317"|"Celso Kurashima"|"Department of Computer Science|University of North Carolina at Chapel Hill"
"741503"|"2948"|"Janet Carter"|"Cambridge U."
"741979"|"5808"|"T. M. Young"|""
"742557"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"743025"|"724"|"Lionel Brunie"|""
"743025"|"724"|"Clarisse Dhaenens"|""
"743115"|"6966"|"D MIDDLETON"|""
"743758"|"1328"|"Marc A. Najork"|"Department of Com|Science University"
"744480"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"744515"|"3900"|"Yvan Pointurier"|"Athens Information Technology"
"744753"|"745"|"A. V. Soldatov"|""
"744865"|"4108"|"Deborra J. Zukowski"|""
"744960"|"2894"|"P. H. Warren"|""
"745287"|"4358"|"Erik B. Sudderth"|"Computer Science Division|University of California , Berkeley|International Data Centre"
"745317"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"745522"|"3195"|"Jan Barciszewski"|""
"745827"|"1476"|"Sweder Van Wijnbergen"|"University of Amsterdam and Tilburg University, and University of Amsterdam and LSE and CEPR The Netherlands"
"745883"|"3195"|"Jan Barciszewski"|""
"745944"|"745"|"A. V. Soldatov"|""
"746319"|"1312"|"Sing Bing Kang"|"Microsoft Research Asia, Beijing, P.R. China"
"746727"|"7066"|"A. Gomes Correia"|"University of Minho, Department of Civil Engineering, School of Engineering, Campus de Azurém, 4800-058 Guimarães, Portugal"
"746727"|"7066"|"Antonio Gomes Correia"|"Universidade do Minho"
"746784"|"826"|"E. Buratti"|"International Centre for Genetic Engineering and Biotechnology|Department of Biomedical Science|University of Trieste"
"746784"|"826"|"Emanuele Buratti"|""
"747191"|"7703"|"Michael F. Doherty"|""
"747730"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"748041"|"6710"|"Michael S. Gazzaniga"|""
"748081"|"1257"|"JOFFRE SWAIT"|""
"748090"|"1312"|"Sing Bing Kang"|""
"748361"|"2621"|"Robert Bosch Gmbh"|""
"748713"|"5919"|"Pekka J. Toivanen"|""
"748937"|"6573"|"N. P. Kozlov"|""
"749103"|"8691"|"Reijo Sulonen"|"Helsinki University of Technology|TAI Research Centre"
"749124"|"55"|"J. Pereira"|"Computer Science and Technology Center ( CCTC )|University of Minho"
"749124"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"749284"|"2300"|"Nicholas T. Basta"|""
"749628"|"7703"|"Michael F. Doherty"|""
"750172"|"571"|"Erika F. de Lima"|""
"750194"|"406"|"Jens-Rainer Ohm"|"Institut für Nachrichtentechnik, RWTH Aachen, Melatener Str. 23, 52074 Aachen"
"750441"|"7530"|"José A. Senso"|"Faculty of Translation and Interpreting, University of Granada, Spain"
"751033"|"3897"|"Ravi P. Agarwal"|"aDepartment of Mathematics|National University of Ireland|Florida Institute of Technology"
"751271"|"4402"|"R. C. Gardner"|"University of Western Ontario, London, Ontario, Canada"
"751333"|"6303"|"S. P. Kuo"|""
"751559"|"8317"|"Celso Setsuo Kurashima"|""
"751991"|"339"|"Jaehoon Kim"|""
"752025"|"4402"|"Robert C. Gardner"|"McGill U."
"752136"|"2848"|"Stephen W. Salant"|"Department of Economics University of Michigan 48109 Ann Arbor MI USA"
"752277"|"6874"|"Mohammed Abdel-Megeed Mohammed Salem"|"Ain Shams University in Cairo"
"753083"|"2948"|"Janet Carter"|"Cambridge U."
"753190"|"2240"|"Ramon Lawrence"|""
"753409"|"5264"|"E. Martinez"|"University of Manitoba, Winnipeg Children’s Hospital Health Science Centre 840 Sherbrook Street Winnipeg Manitoba R3A 1S1 Canada"
"753449"|"8101"|"Kenneth Sauer"|""
"753573"|"3897"|"Ravi P. Agarwal"|"Florida Institute of Technology Department of Mathematical Sciences 150 West University Blvd. Melbourne FL 32901"
"753581"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"753611"|"4926"|"C. Robert Carlson"|""
"754225"|"8044"|"Daniel Bar-Tal"|""
"754642"|"1476"|"Sweder van Wijnbergen"|""
"754722"|"2276"|"S. S. Hecht"|""
"754748"|"4203"|"Alan D. Irvine"|""
"754748"|"4203"|"Alan D. Irvine"|"Department of Paediatric Dermatology, Our Lady's Children's Hospital, Dublin, Ireland"
"755553"|"8495"|"David Carrera"|"Universitat Politècnica de Catalunya"
"756296"|"4272"|"R. A. Cahill"|""
"756296"|"4272"|"Ronan A. Cahill"|"Royal College of Surgeons of Ireland"
"757227"|"406"|"Jens-Rainer Ohm"|""
"757830"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"758242"|"2486"|"Junghee Park"|"Department of Mathematics|and Computer Science|Kent State University"
"758443"|"6827"|"William A. Masters"|""
"758498"|"6683"|"Ketan Mulmuley"|""
"758939"|"2948"|"Janet Carter"|"Cambridge U."
"759169"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"759360"|"7915"|"D. Walther"|"Universität Bochum D-4630 Bochum Germany"
"759813"|"3649"|"Harith Alani"|""
"760245"|"6303"|"S. P. Kuo"|""
"760649"|"5505"|"Roberto Coccioli"|"Electrical Engineering Department|University of California , Los Angeles"
"760740"|"8011"|"R. Thalmann"|""
"761011"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"761202"|"2528"|"J. Mazziotta"|""
"761273"|"406"|"Jens-Rainer Ohm"|"Institut für Nachrichtentechnik, RWTH Aachen, Melatener Str. 23, 52074 Aachen"
"761666"|"8101"|"Ken Sauer"|"Notre Dame Univ., IN United States). Dept. of Electrical Engineering"
"762178"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"762282"|"3649"|"Harith Alani"|""
"762357"|"426"|"Michael Thomas"|""
"762357"|"426"|"Michael Thomas"|"California Institute of Technology"
"762497"|"7062"|"Luís Monteiro"|"Universidade Nova de Lisboa Departamento de Informática 2825 Monte da Caparica Portugal 2825 Monte da Caparica Portugal"
"762912"|"1312"|"S. B. Kang"|""
"763248"|"587"|"Jörg Dahmen"|""
"764733"|"2300"|"N. T. Basta"|""
"765062"|"3874"|"Thomas Schneider"|"Horst Görtz Institute for IT Security, Ruhr-University, Bochum, Germany"
"765062"|"3874"|"Thomas Schneider"|"Darmstadt University of Technology"
"765258"|"3897"|"Ravi P. Agarwal"|""
"766042"|"6733"|"Jawahar Jain"|""
"766130"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"766190"|"3897"|"Ravi P. Agarwal"|"Department of Mathematical Sciences, Florida Institute of Technology, Melbourne, FL 32901, USA"
"766264"|"2528"|"John C. Mazziotta"|""
"766497"|"4272"|"R. A. Cahill"|"Breast Care Unit, Waterford Regional Hospital, Waterford"
"766497"|"4272"|"Ronan A. Cahill"|"Royal College of Surgeons of Ireland"
"767103"|"2276"|"Stephen S. Hecht"|"University of Minnesota|Cancer Center"
"767477"|"3598"|"Scott Samson"|"University of South Florida|College of Marine Science|Department of Electrical Engineering"
"767668"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"767951"|"5264"|"E MARTINEZ"|""
"768058"|"7703"|"Michael F. Doherty"|""
"768214"|"4702"|"Sara Blanc"|""
"768572"|"8495"|"David Carrera"|"Universitat Politècnica de Catalunya"
"768572"|"8495"|"David Carrera"|""
"768731"|"4272"|"Ronan A. Cahill"|"Royal College of Surgeons of Ireland"
"768731"|"4272"|"Ronan A. Cahill"|"St. Vincent’s University Hospital Department of Vascular Surgery Dublin Ireland Dublin Ireland"
"768943"|"55"|"Jose Pereira"|"HASLab / INESC TEC and Universidade do Minho"
"769323"|"5271"|"Jochen Koenigsmann"|""
"769552"|"4203"|"A. IRVINE"|""
"769552"|"4203"|"Alan D. Irvine"|""
"769646"|"2528"|"John C. Mazziotta"|""
"770009"|"336"|"Halina Przymusinska"|""
